,country,city,lat,lon,date,cloudiness,humidity,max_temp,wind_speed
0,GL,qaanaaq,77.484,-69.3632,1643498180,100,64,4.95,10.4
1,AU,hobart,-42.8794,147.3294,1643498725,75,60,72.01,3.0
2,GL,qasigiannguit,68.8193,-51.1922,1643498725,93,81,12.45,12.71
3,IN,amalapuram,16.5833,82.0167,1643498725,8,95,62.76,1.86
4,AU,carnarvon,-24.8667,113.6333,1643498726,67,88,77.07,12.66
5,US,kodiak,57.79,-152.4072,1643498726,0,55,35.11,21.85
6,JP,katsuura,35.1333,140.3,1643498726,58,73,44.19,18.07
7,NZ,mataura,-46.1927,168.8643,1643498726,100,98,57.67,2.57
8,CA,iqaluit,63.7506,-68.5145,1643498727,75,64,-11.47,8.05
9,PT,ponta delgada,37.7333,-25.6667,1643498727,20,72,58.5,4.61
10,US,albany,42.6001,-73.9662,1643498728,100,62,11.84,5.01
11,AU,byron bay,-28.65,153.6167,1643498728,76,79,80.56,10.0
12,ZA,bredasdorp,-34.5322,20.0403,1643498643,4,88,66.27,2.3
13,BR,estrela,-28.0611,-50.9383,1643498728,100,96,57.97,3.04
14,RU,evensk,61.95,159.2333,1643498729,100,78,16.07,11.1
15,AU,busselton,-33.65,115.3333,1643498715,10,84,70.05,13.27
16,US,clearwater,27.9659,-82.8001,1643498729,0,61,45.91,13.0
17,RU,ust-kut,56.7938,105.7672,1643498729,94,100,-9.22,1.59
18,CL,lebu,-37.6167,-73.65,1643498730,1,79,62.44,10.71
19,RU,severo-kurilsk,50.6789,156.125,1643498638,94,81,24.01,18.3
20,SE,skelleftea,64.7507,20.9528,1643498730,100,69,21.56,3.0
21,CL,punta arenas,-53.15,-70.9167,1643498627,75,50,51.91,13.8
22,US,saint george,37.1041,-113.5841,1643498730,0,13,60.44,3.0
23,RU,gornopravdinsk,60.05,69.9,1643498731,100,97,7.39,4.0
24,GR,farsala,39.2947,22.3847,1643498731,86,96,42.04,2.89
25,RU,talnakh,69.4865,88.3972,1643498732,100,96,-3.8,9.08
26,AR,ushuaia,-54.8,-68.3,1643498732,100,87,44.26,13.8
27,US,hilo,19.7297,-155.09,1643498700,40,50,82.13,10.36
28,GL,tasiilaq,65.6145,-37.6368,1643498732,96,77,14.16,4.85
29,RU,yar-sale,66.8333,70.8333,1643498733,87,97,-10.28,8.43
30,UY,chuy,-33.6971,-53.4616,1643498733,12,73,68.36,8.68
31,GH,tarkwa,5.3064,-1.9847,1643498733,37,89,75.94,2.24
32,SL,bonthe,7.5264,-12.505,1643498734,100,81,78.67,6.46
33,HN,tela,15.7833,-87.45,1643498734,91,95,71.08,13.02
34,RU,khatanga,71.9667,102.5,1643498734,100,98,-3.69,6.87
35,US,avera,33.194,-82.5271,1643498735,0,26,39.7,11.77
36,CA,terrace,54.5163,-128.6035,1643498735,75,100,39.11,5.75
37,RU,krasnoselkup,65.7,82.4667,1643498735,98,99,-13.25,8.12
38,US,kapaa,22.0752,-159.319,1643498736,0,65,80.58,1.01
39,PF,atuona,-9.8,-139.0333,1643498736,11,78,77.67,11.86
40,KI,butaritari,3.0707,172.7902,1643498736,45,73,82.51,19.46
41,RU,saskylakh,71.9167,114.0833,1643498737,99,100,-20.47,3.69
42,SD,marabba,12.35,32.1833,1643498737,9,17,67.23,14.58
43,NZ,waipawa,-41.4122,175.5153,1643498588,42,50,70.43,7.2
44,US,coronado,32.6859,-117.1831,1643498737,75,22,70.63,3.44
45,SO,hobyo,5.3505,48.5268,1643498738,43,76,76.41,22.68
46,MR,adrar,20.5022,-10.0711,1643498738,100,11,76.48,12.21
47,MG,mananjary,-21.2167,48.3333,1643498738,43,84,75.07,3.78
48,GB,ullapool,57.8987,-5.1604,1643498739,68,75,42.35,8.5
49,CA,yellowknife,62.456,-114.3525,1643498639,75,83,-7.58,9.22
50,CN,hecun,36.5333,114.1111,1643498799,11,79,29.77,3.09
51,JP,mikuni,36.2171,136.1519,1643498800,97,76,33.71,18.43
52,CN,linqiong,30.4159,103.4609,1643498800,100,86,42.62,4.25
53,RU,likhoslavl,57.1275,35.464,1643498800,100,94,19.47,8.01
54,RU,lavrentiya,65.5833,-171.0,1643498801,2,83,-1.97,3.4
55,RU,svetlyy,54.675,20.1347,1643498801,100,75,42.85,36.98
56,ID,meulaboh,4.1363,96.1285,1643498802,65,91,76.37,5.01
57,PT,lagoa,39.05,-27.9833,1643498802,53,71,58.66,14.58
58,PT,ribeira grande,38.5167,-28.7,1643498802,25,71,59.27,6.13
59,NZ,tuatapere,-46.1333,167.6833,1643498803,100,94,57.99,4.7
60,CA,tuktoyaktuk,69.4541,-133.0374,1643498803,75,77,-7.6,17.27
61,IL,ashqelon,31.6693,34.5715,1643498803,0,72,50.41,3.31
62,PG,lorengau,-2.0226,147.2712,1643498804,98,78,82.8,8.1
63,AU,new norfolk,-42.7826,147.0587,1643498804,16,36,72.66,2.06
64,CA,thompson,55.7435,-97.8558,1643498805,20,84,-5.64,0.0
65,BR,arraial do cabo,-22.9661,-42.0278,1643498742,84,97,74.3,13.94
66,RU,aksarka,66.5606,67.7975,1643498805,100,100,-17.46,6.6
67,AU,codrington,-38.2667,141.9667,1643498805,88,84,66.58,8.61
68,CA,ucluelet,48.9329,-125.5528,1643498806,100,91,43.11,1.01
69,CU,remedios,22.4947,-79.5458,1643498806,99,66,61.72,15.48
70,LY,mizdah,31.4451,12.9801,1643498806,25,76,45.03,15.23
71,PH,osmena,10.5208,119.9258,1643498807,10,81,79.11,3.49
72,PT,ponta do sol,32.6667,-17.1,1643498720,21,54,65.03,5.84
73,ES,los llanos de aridane,28.6585,-17.9182,1643498807,75,71,60.55,5.99
74,ZA,cape town,-33.9258,18.4232,1643498649,0,69,68.41,4.0
75,IN,along,28.1667,94.7667,1643498808,0,82,42.04,1.74
76,NO,vardo,70.3705,31.1107,1643498808,93,84,21.58,3.56
77,NZ,kaitangata,-46.2817,169.8464,1643498808,100,90,58.15,4.83
78,NO,berlevag,70.8578,29.0864,1643498809,89,80,18.61,4.56
79,CA,aklavik,68.2191,-135.0107,1643498809,40,69,-15.77,0.0
80,AU,nhulunbuy,-12.2333,136.7667,1643498714,100,79,84.81,14.97
81,GL,upernavik,72.7868,-56.1549,1643498718,100,93,3.04,9.33
82,RU,klyuchevskiy,53.5317,119.4519,1643498810,6,94,-14.64,4.27
83,ZA,east london,-33.0153,27.9116,1643498627,78,85,70.32,8.86
